Timestamp,rh SRDMotor WRJ1,rh SRDMotor WRJ2,rh SRDMotor FFJ0,rh SRDMotor FFJ3,rh SRDMotor FFJ4,rh SRDMotor MFJ0,rh SRDMotor MFJ3,rh SRDMotor MFJ4,rh SRDMotor RFJ0,rh SRDMotor RFJ3,rh SRDMotor RFJ4,rh SRDMotor LFJ0,rh SRDMotor LFJ3,rh SRDMotor LFJ4,rh SRDMotor LFJ5,rh SRDMotor THJ1,rh SRDMotor THJ2,rh SRDMotor THJ3,rh SRDMotor THJ4,rh SRDMotor THJ5
1743519399.5808425,0.005,0.016,0.008,0.011,0.016,0.016,0.013,0.027,0.0,0.045,0.019,0.008,0.019,0.028,0.032,0.017,0.039,0.016,0.025,0.008
1743519400.581047,0.014,0.018,0.008,0.056,0.017,0.016,0.06,0.012,0.001,0.139,0.103,0.019,0.028,0.072,0.047,0.017,0.074,0.015,0.024,0.007
1743519401.582535,0.015,0.011,0.009,0.007,0.013,0.016,0.009,0.012,0.0,0.019,0.014,0.006,0.012,0.003,0.014,0.017,0.015,0.012,0.023,0.005
1743519402.5814161,0.051,0.126,0.01,0.028,0.198,0.017,0.044,0.175,0.024,0.135,0.167,0.005,0.025,0.009,0.136,0.017,0.15,0.065,0.161,0.008
1743519403.5814893,0.065,0.063,0.01,0.076,0.055,0.016,0.076,0.06,0.148,0.115,0.042,0.197,0.033,0.003,0.016,0.017,0.032,0.037,0.061,0.007
1743519404.5819218,0.022,0.089,0.012,0.01,0.143,0.033,0.021,0.141,0.135,0.028,0.099,0.006,0.032,0.021,0.071,0.017,0.028,0.081,0.021,0.009
1743519405.5822122,0.022,0.051,0.009,0.028,0.037,0.016,0.024,0.047,0.009,0.039,0.051,0.009,0.014,0.006,0.035,0.035,0.032,0.013,0.035,0.005
1743519406.5831861,0.033,0.032,0.173,0.022,0.032,0.016,0.056,0.041,0.103,0.047,0.044,0.009,0.014,0.069,0.016,0.035,0.016,0.156,0.115,0.005
1743519407.5844703,0.024,0.025,0.023,0.023,0.013,0.047,0.032,0.032,0.001,0.051,0.016,0.015,0.035,0.014,0.015,0.019,0.019,0.012,0.051,0.024
1743519408.584228,0.024,0.027,0.012,0.014,0.014,0.022,0.017,0.027,0.0,0.039,0.015,0.012,0.032,0.004,0.012,0.018,0.02,0.015,0.022,0.006
1743519409.5847285,0.022,0.027,0.009,0.016,0.025,0.017,0.032,0.027,0.0,0.035,0.017,0.006,0.105,0.035,0.012,0.028,0.016,0.092,0.028,0.003
1743519410.584733,0.021,0.024,0.008,0.014,0.014,0.112,0.032,0.02,0.113,0.02,0.017,0.013,0.02,0.006,0.012,0.025,0.016,0.012,0.041,0.017
1743519411.5854402,0.022,0.024,0.008,0.007,0.015,0.025,0.01,0.025,0.001,0.025,0.015,0.011,0.032,0.008,0.012,0.021,0.024,0.013,0.033,0.016
1743519412.5867193,0.026,0.024,0.009,0.005,0.012,0.016,0.008,0.019,0.0,0.038,0.015,0.007,0.024,0.009,0.012,0.019,0.022,0.014,0.024,0.003
1743519413.5869017,0.017,0.022,0.008,0.004,0.015,0.093,0.014,0.02,0.02,0.024,0.016,0.008,0.02,0.009,0.019,0.028,0.016,0.014,0.023,0.007
1743519414.5873451,0.007,0.019,0.012,0.003,0.014,0.073,0.011,0.022,0.0,0.032,0.015,0.012,0.024,0.013,0.016,0.018,0.032,0.012,0.039,0.019
1743519415.588321,0.01,0.019,0.008,0.011,0.014,0.075,0.007,0.02,0.019,0.015,0.015,0.008,0.025,0.016,0.032,0.023,0.038,0.028,0.02,0.004
1743519416.589204,0.007,0.017,0.009,0.006,0.015,0.016,0.012,0.019,0.0,0.027,0.015,0.007,0.022,0.022,0.032,0.017,0.032,0.012,0.019,0.004
1743519417.5897183,0.005,0.015,0.089,0.003,0.014,0.016,0.007,0.025,0.065,0.015,0.016,0.01,0.024,0.025,0.032,0.02,0.032,0.057,0.038,0.015
1743519418.5900276,0.005,0.014,0.096,0.003,0.014,0.016,0.005,0.021,0.071,0.015,0.015,0.009,0.024,0.025,0.032,0.024,0.044,0.022,0.032,0.012
1743519419.5905967,0.011,0.014,0.009,0.007,0.015,0.067,0.014,0.024,0.003,0.035,0.015,0.007,0.024,0.032,0.032,0.022,0.044,0.025,0.02,0.004
